OID,site,plot,ANPP,MAT,MASM,CLAY,LIG,N,CN,fW,treatment,soilGWC,cum_LitterCMin,soilpH,sir,sir_mlC,microbialBiomassC_perg,microbialBiomassC
46,HARV,3,750,20,55,15,21,1,49,0.6,60,61.46980859,51.40509714,3.96,9.6182334,0.017991458,1.090377975,0.272594494
47,HARV,3,750,20,55,15,21,1,49,0.6,60,61.46980859,58.46436663,3.96,9.6182334,0.017991458,1.090377975,0.272594494
48,HARV,3,750,20,55,15,21,1,49,0.6,60,61.46980859,60.45562206,3.96,9.6182334,0.017991458,1.090377975,0.272594494
49,HARV,3,750,20,55,15,21,1,49,0.6,60,61.46980859,53.72692254,3.96,9.6182334,0.017991458,1.090377975,0.272594494
50,HARV,3,750,20,55,15,21,1,49,0.6,60,61.46980859,49.30780031,3.96,9.6182334,0.017991458,1.090377975,0.272594494
51,HARV,3,750,20,55,15,21,1,49,0.6,60,61.46980859,55.84543452,3.96,9.6182334,0.017991458,1.090377975,0.272594494
52,HARV,3,750,20,55,15,21,1,49,0.6,60,61.46980859,57.11851123,3.96,9.6182334,0.017991458,1.090377975,0.272594494
53,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,53.78873201,3.96,9.6182334,0.017991458,1.090377975,0.272594494
54,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,56.20251726,3.96,9.6182334,0.017991458,1.090377975,0.272594494
55,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,55.3375918,3.96,9.6182334,0.017991458,1.090377975,0.272594494
56,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,52.00345479,3.96,9.6182334,0.017991458,1.090377975,0.272594494
57,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,56.54116481,3.96,9.6182334,0.017991458,1.090377975,0.272594494
58,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,57.44432571,3.96,9.6182334,0.017991458,1.090377975,0.272594494
59,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,54.75232198,3.96,9.6182334,0.017991458,1.090377975,0.272594494
60,HARV,3,750,20,,15,21,1,49,1,100,61.46980859,47.69185862,3.96,9.6182334,0.017991458,1.090377975,0.272594494
61,HARV,31,750,20,,15,21,1,49,0.35,35,42.25635353,60.6271397,4.036666667,13.13493047,0.024569642,1.353768455,0.338442114
62,HARV,31,750,20,55,15,21,1,49,0.6,60,42.25635353,42.72658224,4.036666667,13.13493047,0.024569642,1.353768455,0.338442114
63,HARV,31,750,20,,15,21,1,49,1,100,42.25635353,53.00592724,4.036666667,13.13493047,0.024569642,1.353768455,0.338442114
64,HARV,34,750,20,,15,21,1,49,0.35,35,55.50882383,59.65548905,4.04,14.61435987,0.027336999,1.464573455,0.366143364
65,HARV,34,750,20,55,15,21,1,49,0.6,60,55.50882383,47.63513813,4.04,14.61435987,0.027336999,1.464573455,0.366143364
66,HARV,34,750,20,,15,21,1,49,1,100,55.50882383,54.62117884,4.04,14.61435987,0.027336999,1.464573455,0.366143364
67,HARV,36,750,20,,15,21,1,49,0.35,35,89.89144028,87.62337877,4.376666667,13.58276034,0.025407333,1.387309622,0.346827406
68,HARV,36,750,20,55,15,21,1,49,0.6,60,89.89144028,64.67311553,4.376666667,13.58276034,0.025407333,1.387309622,0.346827406
69,HARV,36,750,20,,15,21,1,49,1,100,89.89144028,62.63334254,4.376666667,13.58276034,0.025407333,1.387309622,0.346827406
70,HARV,38,750,20,,15,21,1,49,0.35,35,86.73231822,73.13190739,4.043333333,14.31231928,0.026772015,1.441951485,0.360487871
71,HARV,38,750,20,55,15,21,1,49,0.6,60,86.73231822,63.57968319,4.043333333,14.31231928,0.026772015,1.441951485,0.360487871
