OID,site,plot,ANPP,MAT,MASM,CLAY,LIG,N,CN,fW,treatment,soilGWC,cum_LitterCMin,soilpH,sir,sir_mlC,microbialBiomassC_perg,microbialBiomassC
201,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,64.62328875,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
202,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,68.72805016,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
203,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,60.93905405,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
204,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,63.57645615,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
205,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,73.63278966,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
206,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,43.22058594,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
207,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,50.76038792,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
208,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,48.43172018,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
209,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,43.70011978,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
210,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,46.90673186,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
211,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,56.19547491,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
212,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,60.06994152,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
213,SCBI,38,750,20,,15,21,1,49,1,100,30.02041251,51.27420287,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
214,SCBI,40,750,20,,15,21,1,49,0.35,35,32.93566034,129.6041444,6.756666667,3.914726027,0.00732272,0.663201702,0.165800426
215,SCBI,40,750,20,38,15,21,1,49,0.6,60,32.93566034,59.05808035,6.756666667,3.914726027,0.00732272,0.663201702,0.165800426
216,SCBI,40,750,20,,15,21,1,49,1,100,32.93566034,47.06157404,6.756666667,3.914726027,0.00732272,0.663201702,0.165800426
217,SCBI,41,750,20,,15,21,1,49,0.35,35,34.67064635,122.7727599,6.996666667,5.387548671,0.010077719,0.773511876,0.193377969
218,SCBI,41,750,20,38,15,21,1,49,0.6,60,34.67064635,67.19841226,6.996666667,5.387548671,0.010077719,0.773511876,0.193377969
219,SCBI,41,750,20,,15,21,1,49,1,100,34.67064635,52.00004919,6.996666667,5.387548671,0.010077719,0.773511876,0.193377969
220,SCBI,42,750,20,,15,21,1,49,0.35,35,35.33869942,65.00452215,6.046666667,4.520505585,0.008455865,0.708572846,0.177143212
221,SCBI,42,750,20,38,15,21,1,49,0.6,60,35.33869942,102.3173147,6.046666667,4.520505585,0.008455865,0.708572846,0.177143212
222,SCBI,42,750,20,,15,21,1,49,1,100,35.33869942,73.75153065,6.046666667,4.520505585,0.008455865,0.708572846,0.177143212
223,SCBI,43,750,20,,15,21,1,49,0.35,35,35.49629777,136.1076675,7.003333333,4.288642765,0.008022153,0.691206989,0.172801747
224,SCBI,43,750,20,38,15,21,1,49,0.6,60,35.49629777,92.62171974,7.003333333,4.288642765,0.008022153,0.691206989,0.172801747
225,SCBI,43,750,20,,15,21,1,49,1,100,35.49629777,54.6947405,7.003333333,4.288642765,0.008022153,0.691206989,0.172801747
226,SCBI,44,750,20,,15,21,1,49,0.35,35,37.83483605,124.207227,7.003333333,6.701199176,0.012534978,0.871900514,0.217975129
227,SCBI,44,750,20,38,15,21,1,49,0.6,60,37.83483605,66.63732189,7.003333333,6.701199176,0.012534978,0.871900514,0.217975129
228,SCBI,44,750,20,,15,21,1,49,1,100,37.83483605,53.96369249,7.003333333,6.701199176,0.012534978,0.871900514,0.217975129
229,SCBI,45,750,20,,15,21,1,49,0.35,35,37.04588682,135.2229188,6.49,5.448216086,0.010191201,0.77805569,0.194513923
230,SCBI,45,750,20,38,15,21,1,49,0.6,60,37.04588682,67.62690199,6.49,5.448216086,0.010191201,0.77805569,0.194513923
231,SCBI,45,750,20,,15,21,1,49,1,100,37.04588682,52.37317791,6.49,5.448216086,0.010191201,0.77805569,0.194513923
232,SCBI,46,750,20,,15,21,1,49,0.35,35,34.97419158,134.5108921,6.746666667,5.95251254,0.011134517,0.815826042,0.203956511
233,SCBI,46,750,20,38,15,21,1,49,0.6,60,34.97419158,65.45947163,6.746666667,5.95251254,0.011134517,0.815826042,0.203956511
234,SCBI,46,750,20,,15,21,1,49,1,100,34.97419158,56.04426439,6.746666667,5.95251254,0.011134517,0.815826042,0.203956511
235,SCBI,49,750,20,,15,21,1,49,0.35,35,38.70111766,100.9587241,5.68,6.668411606,0.012473647,0.86944482,0.217361205
236,SCBI,49,750,20,38,15,21,1,49,0.6,60,38.70111766,67.53772181,5.68,6.668411606,0.012473647,0.86944482,0.217361205
237,SCBI,49,750,20,,15,21,1,49,1,100,38.70111766,57.47419203,5.68,6.668411606,0.012473647,0.86944482,0.217361205
238,SCBI,6,750,20,,15,21,1,49,0.35,35,29.80487918,118.0385251,7.21,3.428621765,0.006413434,0.626793893,0.156698473
239,SCBI,6,750,20,38,15,21,1,49,0.6,60,29.80487918,79.54339179,7.21,3.428621765,0.006413434,0.626793893,0.156698473
240,SCBI,6,750,20,,15,21,1,49,1,100,29.80487918,55.95143427,7.21,3.428621765,0.006413434,0.626793893,0.156698473
241,SCBI,7,750,20,,15,21,1,49,0.35,35,30.49148284,124.7687993,6.956666667,4.457654998,0.0083383,0.703865518,0.17596638
242,SCBI,7,750,20,38,15,21,1,49,0.6,60,30.49148284,66.13218578,6.956666667,4.457654998,0.0083383,0.703865518,0.17596638
243,SCBI,7,750,20,,15,21,1,49,1,100,30.49148284,49.42043476,6.956666667,4.457654998,0.0083383,0.703865518,0.17596638
244,SCBI,8,750,20,,15,21,1,49,0.35,35,31.63953998,112.6482532,7.08,4.057810724,0.007590368,0.673918334,0.168479584
245,SCBI,8,750,20,38,15,21,1,49,0.6,60,31.63953998,57.59618355,7.08,4.057810724,0.007590368,0.673918334,0.168479584
246,SCBI,8,750,20,,15,21,1,49,1,100,31.63953998,61.9914836,7.08,4.057810724,0.007590368,0.673918334,0.168479584
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
