site,plot,treatment,cum_LitterCMin,soilGWC,soilpH,sir,percent.N,percent.C,C_N,bulkdensity,soilWHC,sir_mlC,microbialBiomassC_perg,microbialBiomassC
HARV,24,35,53.5882292466602,53.8430166019242,3.9899999999999998,9.489833155886307,0.9,22.415,24.8,0.218132813628125,70.3588077153034,0.017751277882316324,1.0807611664079455,0.2701902916019864
HARV,24,60,54.2468863121128,53.8430166019242,3.9899999999999998,9.489833155886307,0.9,22.415,24.8,0.218132813628125,70.3588077153034,0.017751277882316324,1.0807611664079455,0.2701902916019864
HARV,24,100,45.3362648081512,53.8430166019242,3.9899999999999998,9.489833155886307,0.9,22.415,24.8,0.218132813628125,70.3588077153034,0.017751277882316324,1.0807611664079455,0.2701902916019864
HARV,25,35,44.0387822145661,38.10424958796063,4.366666666666667,6.2953789656440335,0.43,10.719999999999999,24.85,0.378860525947082,59.35919572946055,0.011775867874380907,0.8415057496902114,0.21037643742255285
HARV,25,60,77.1229985785651,38.10424958796063,4.366666666666667,6.2953789656440335,0.43,10.719999999999999,24.85,0.378860525947082,59.35919572946055,0.011775867874380907,0.8415057496902114,0.21037643742255285
HARV,25,100,46.7385091851676,38.10424958796063,4.366666666666667,6.2953789656440335,0.43,10.719999999999999,24.85,0.378860525947082,59.35919572946055,0.011775867874380907,0.8415057496902114,0.21037643742255285
HARV,28,35,57.8196155233057,63.05548208344937,3.9166666666666665,20.641739843590134,1.075,33.945,31.65,0.0909735074178041,80.5210271783693,0.03861155975231974,1.9160068524828824,0.4790017131207206
HARV,28,60,56.4259781457904,63.05548208344937,3.9166666666666665,20.641739843590134,1.075,33.945,31.65,0.0909735074178041,80.5210271783693,0.03861155975231974,1.9160068524828824,0.4790017131207206
HARV,28,100,60.4668596986656,63.05548208344937,3.9166666666666665,20.641739843590134,1.075,33.945,31.65,0.0909735074178041,80.5210271783693,0.03861155975231974,1.9160068524828824,0.4790017131207206
HARV,29,35,49.558588142739,51.50066690566403,3.8966666666666665,13.404252017936733,0.75,22.990000000000002,30.6,0.360583784212615,74.88218908722624,0.025073423153641472,1.3739398630718047,0.3434849657679512
HARV,29,60,54.4401222778499,51.50066690566403,3.8966666666666665,13.404252017936733,0.75,22.990000000000002,30.6,0.360583784212615,74.88218908722624,0.025073423153641472,1.3739398630718047,0.3434849657679512
HARV,29,100,46.4666939428273,51.50066690566403,3.8966666666666665,13.404252017936733,0.75,22.990000000000002,30.6,0.360583784212615,74.88218908722624,0.025073423153641472,1.3739398630718047,0.3434849657679512
HARV,3,35,67.9922546655954,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,35,69.4958600091614,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,35,82.117877979886,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,35,48.5021393848903,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,35,50.8537971728841,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,35,54.6356734972331,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,35,55.8301396270517,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,35,52.9559731803122,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,48.8768661229498,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,51.405097142873,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,58.4643666311268,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,60.4556220586841,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,53.7269225377737,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,49.3078003108596,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,55.8454345183084,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,60,57.1185112270027,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,53.7887320102478,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,56.202517262637,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,55.3375917990545,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,52.0034547941976,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,56.5411648108187,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,57.4443257052055,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,54.7523219760841,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,3,100,47.6918586154125,61.469808589917136,3.96,9.618233399848878,0.5700000000000001,16.36,28.6,0.12337158082488,65.9656291951369,0.017991457912175227,1.090377974803496,0.272594493700874
HARV,31,35,60.6271396955379,42.256353529431735,4.036666666666667,13.134930467993467,0.775,20.465000000000003,26.5,0.154882915205337,70.11006895741285,0.02456964172838284,1.3537684548044489,0.3384421137011122
HARV,31,60,42.7265822445641,42.256353529431735,4.036666666666667,13.134930467993467,0.775,20.465000000000003,26.5,0.154882915205337,70.11006895741285,0.02456964172838284,1.3537684548044489,0.3384421137011122
HARV,31,100,53.0059272422468,42.256353529431735,4.036666666666667,13.134930467993467,0.775,20.465000000000003,26.5,0.154882915205337,70.11006895741285,0.02456964172838284,1.3537684548044489,0.3384421137011122
HARV,34,35,59.6554890525953,55.50882382634126,4.04,14.614359867650133,0.78,21.865000000000002,28,0.127531291287406,75.60738532282156,0.027336999378320487,1.4645734551079523,0.3661433637769881
HARV,34,60,47.6351381288618,55.50882382634126,4.04,14.614359867650133,0.78,21.865000000000002,28,0.127531291287406,75.60738532282156,0.027336999378320487,1.4645734551079523,0.3661433637769881
HARV,34,100,54.6211788409278,55.50882382634126,4.04,14.614359867650133,0.78,21.865000000000002,28,0.127531291287406,75.60738532282156,0.027336999378320487,1.4645734551079523,0.3661433637769881
HARV,36,35,87.623378769488,89.891440282484,4.376666666666667,13.582760341313334,2.115,48.475,22.95,0.0763241224551241,90.08381791401456,0.02540733322355655,1.387309622271204,0.346827405567801
HARV,36,60,64.6731155285259,89.891440282484,4.376666666666667,13.582760341313334,2.115,48.475,22.95,0.0763241224551241,90.08381791401456,0.02540733322355655,1.387309622271204,0.346827405567801
HARV,36,100,62.6333425372175,89.891440282484,4.376666666666667,13.582760341313334,2.115,48.475,22.95,0.0763241224551241,90.08381791401456,0.02540733322355655,1.387309622271204,0.346827405567801
HARV,38,35,73.1319073878415,86.73231821832184,4.043333333333333,14.31231928350156,1.6600000000000001,50.43,30.05,0.0815880643248848,88.3477631618949,0.026772015120653872,1.4419514854309812,0.3604878713577453
HARV,38,60,63.5796831868832,86.73231821832184,4.043333333333333,14.31231928350156,1.6600000000000001,50.43,30.05,0.0815880643248848,88.3477631618949,0.026772015120653872,1.4419514854309812,0.3604878713577453
HARV,38,100,55.8155829781449,86.73231821832184,4.043333333333333,14.31231928350156,1.6600000000000001,50.43,30.05,0.0815880643248848,88.3477631618949,0.026772015120653872,1.4419514854309812,0.3604878713577453
HARV,39,35,69.8626656574682,82.53887437699444,4.1,20.740744061187634,1.56,47.305,30.299999999999997,0.0846162114799068,86.22427544409095,0.038796752826763245,1.9234219831836001,0.48085549579590003
HARV,39,60,81.5744438778626,82.53887437699444,4.1,20.740744061187634,1.56,47.305,30.299999999999997,0.0846162114799068,86.22427544409095,0.038796752826763245,1.9234219831836001,0.48085549579590003
HARV,39,100,65.4553767645752,82.53887437699444,4.1,20.740744061187634,1.56,47.305,30.299999999999997,0.0846162114799068,86.22427544409095,0.038796752826763245,1.9234219831836001,0.48085549579590003
HARV,41,35,65.4615092219254,56.171159096570236,3.8733333333333335,12.431218323676566,0.875,25.385,29,0.141549622313344,75.63927283557,0.02325330775098497,1.3010624423494381,0.32526561058735953
